symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,mid_price,spread,volume_imbalance,rolling_volatility
BNBUSDT,2025-03-13 03:59:30.128,577.09,30.149,577.1,0.552,577.095,0.009999999999990905,0.9640402589609328,
BNBUSDT,2025-03-15 18:36:53.944,612.92,2.306,612.93,8.509,612.925,0.009999999999990905,-0.573555246811322,25.335635969913945
BNBUSDT,2025-03-15 18:37:54.179,613.02,4.751,613.03,11.571,613.025,0.009999999999990905,-0.4178409506078661,20.7153880002282
BNBUSDT,2025-03-15 18:38:54.408,612.09,23.787,612.1,1.557,612.095,0.009999999999990905,0.8771306814720918,17.79821526633123
BNBUSDT,2025-03-15 18:39:54.639,611.94,0.11,611.95,22.773,611.945,0.009999999999990905,-0.9903858755449959,15.83980650134337
BNBUSDT,2025-03-15 18:40:54.887,612.59,36.796,612.6,0.996,612.595,0.009999999999990905,0.9472904315867668,14.467441261904831
BNBUSDT,2025-03-15 18:41:55.110,612.59,4.461,612.6,9.115,612.595,0.009999999999990905,-0.3428108424110114,13.399024484747276
BNBUSDT,2025-03-15 18:42:55.331,611.9,1.125,611.91,10.57,611.905,0.009999999999990905,-0.8076100890913979,12.503887109900772
BNBUSDT,2025-03-15 18:43:55.556,612.15,33.158,612.16,0.868,612.155,0.009999999999990905,0.9489801913392757,11.777151608092671
BNBUSDT,2025-03-15 18:44:55.779,612.72,7.243,612.73,6.817,612.725,0.009999999999990905,0.030298719750854405,11.184392349261627
BNBUSDT,2025-03-15 18:45:56.002,612.8,43.61,612.81,1.101,612.805,0.009999999999990905,0.9507503744155241,0.41603418662875885
BNBUSDT,2025-03-15 18:46:56.230,613.08,12.386,613.09,0.769,613.085,0.009999999999990905,0.8830862783100826,0.4376909107266807
BNBUSDT,2025-03-15 18:47:56.456,612.56,36.081,612.57,1.147,612.565,0.010000000000104592,0.9383797139415548,0.3979335511244805
BNBUSDT,2025-03-15 18:49:03.144,611.39,9.065,611.4,6.463,611.395,0.009999999999990905,0.16756826367364225,0.5119635403679745
BNBUSDT,2025-03-15 18:50:03.363,612.03,6.495,612.04,0.835,612.035,0.009999999999990905,0.7721691667501103,0.5042585315749429
BNBUSDT,2025-03-15 18:51:10.554,611.8,8.342,611.81,2.252,611.805,0.009999999999990905,0.5748536902257375,0.5291460625904923
BNBUSDT,2025-03-15 18:52:10.781,611.64,3.056,611.65,7.58,611.645,0.009999999999990905,-0.42534787474111707,0.5562783076437723
